tau,rss
1.0335841971826432,214.75960931712538
1.0150693484060438,215.42676739828389
0.9216158991099147,216.18891241798732
0.34753050618342884,216.59417130898515
0.11708184811101584,216.6479015123009
0.21001231885732335,216.67956243648507
-0.07350041094461023,216.69425150884325
0.04212998092169402,216.70493115379526
0.12348455393257486,216.70559212796564
-0.10990703973902995,216.7093701574386
-0.011470408494528989,216.71613731343422
0.004963449782811212,216.72019801098082
-0.022616623545662105,216.7217758345809
-0.03842789319429077,216.7219408539784
-0.12843163780762137,216.72777658621996
0.023708230264901323,216.72953299914298
-0.14228022968173912,216.73000121829378
-0.15073039269757424,216.73152951774273
-0.16131212628259206,216.7645213439456
0.0865723504043653,216.7677986666999
-0.21935481566659637,216.7738207058155
-0.18580117115750788,216.77720007027168
0.09355852632359647,216.78384251325718
0.0648425828455523,216.78694304503514
-0.25754852544564066,216.79602205848767
0.2374896765761051,216.79839707917023
-0.24041262696810745,216.79912686186378
0.400685016084955,216.82261549386595
0.6719474754118704,216.85727111029814
-0.38955343362131656,216.88305557188198
-0.27515979134792423,216.8856742159528
0.1407068981319185,216.932211403888
0.24992415272846433,216.97547113942574
0.19206617331073203,217.00111941889867
0.2667501103766872,217.02140737332704
-0.43496281713187956,217.0218594056591
-0.45434063544201225,217.07557587858832
-0.646266082346009,217.1373022243604
-0.6746295674096403,217.16004226772253
1.052660258268477,217.16430401866396
0.5223149084036641,217.1929688733456
-0.48191269729323655,217.1969589382309
-0.5319551753038555,217.21077150231577
-0.4924869504199155,217.2200991552248
-0.5119429957008882,217.2204007543391
0.9025288211697613,217.22706201870977
0.6199682769677393,217.23558487469955
-0.6052125819613091,217.3064042138844
-0.5683635529686109,217.3086923504964
-0.6896475051351088,217.31178221735723
-0.5454584789499939,217.3139371210649
-0.7196631033728608,217.33279127788347
-0.7279772745156251,217.4557066668791
1.09500484576228,217.54825699961125
-0.7705208830182007,217.79735428700604
-0.803958985370034,217.8253629423847
-0.7888100518344557,217.82832534905327
-0.8269326052937733,217.8441440167286
0.5540530352914407,217.92111272710972
-0.8384692946172971,218.0192878347921
0.9516202364733698,218.3028574920874
-0.8452328147220366,218.30764464454222
-0.8640030433284015,218.4290731141267
0.834691793153976,218.7216022332151
-0.8876222060388538,218.92958257278968
2.0758918596888885,219.76046014492312
-0.9087549419126724,219.9966656361015
-0.9013655771493883,220.05602355040628
-0.9744066870275574,220.25242126272948
-0.9237521605085918,220.30151392263187
-0.9968579193484018,220.53271447923302
-1.0084899671972245,220.67940762770775
-1.0200316082618062,220.75417788297878
-1.033359143937041,220.8783805268637
-1.073903092969723,220.8796206509591
-1.0527276990322545,220.88838335757944
-1.1144966602544975,220.9547153496145
-1.1822081961834172,221.34056217766405
2.088806060563541,221.36631596345833
2.1187899885846666,221.53028336678665
-1.1920270423730643,221.6359466665844
-1.2107346953037716,221.90804667778139
1.6039456284908755,222.17573813706406
-1.2523511311306634,222.1922144504268
-1.2619355028942925,222.50575876071343
1.1721540414198544,222.50631913290525
1.5685941546556776,222.5287194524984
-1.2957597241790721,222.58352183805778
1.271069148705814,222.79597560424605
-1.3060358669858516,222.85289946231035
1.5169076927083627,223.12732662469983
2.1052608866628377,223.48363166661514
1.2310299968411733,223.8092886588741
-1.3443043617289048,223.82531522088559
-1.3791605638152087,223.9688518115859
-1.4395532810614426,224.14825810185323
-1.4961799895856134,224.42385914090787
1.3497892716158948,225.57146770542448
1.6235155272701631,225.78821313326446
1.9257026067462488,225.9341973605205
1.2155346147293962,226.03706092644705
1.6355800944967949,226.19302072162344
1.4502137935293709,226.33819747964162
1.377134775742537,227.06426590655502
-1.5158780502367843,227.1000154930707
-1.5283333712574398,227.18407358710442
1.8094016896648673,227.2277002805937
-1.6245060235438444,227.36548087488683
-1.5516274527481764,227.37395236858566
-1.6299252652187843,227.4376146458793
-1.6770564300691186,227.6335921137392
1.8626946333764918,228.03992548584893
-1.695862437865907,228.0646204048274
1.8875989143427339,228.27550019635996
1.757161901401315,228.94919657598643
2.362138262254937,234.11588160109315
2.242977492515764,235.1401813257756
2.6222995966950426,238.13349256919264
2.428742994890686,238.3037743167793
2.5711478795307627,239.68034744056
