regime,equation,parameter,coef
absorptive,Stress,const,0.025322853872022797
absorptive,Stress,L1.Stress,0.6076561208719372
absorptive,Stress,L1.SG_tau,-0.05922704824988538
absorptive,Stress,L1.CER,0.0002446724098697127
absorptive,Stress,L1.Pi,0.05524822247540092
absorptive,Stress,L2.Stress,0.16098439100073414
absorptive,Stress,L2.SG_tau,0.09784622580349778
absorptive,Stress,L2.CER,0.0005514916805251874
absorptive,Stress,L2.Pi,-0.18025362109958193
absorptive,SG_tau,const,-0.1992839740595479
absorptive,SG_tau,L1.Stress,0.41922761036378536
absorptive,SG_tau,L1.SG_tau,0.2514207185360212
absorptive,SG_tau,L1.CER,0.000147522410042485
absorptive,SG_tau,L1.Pi,-0.35960098718158345
absorptive,SG_tau,L2.Stress,0.10155751645752191
absorptive,SG_tau,L2.SG_tau,0.10305837214343078
absorptive,SG_tau,L2.CER,0.004799181480598701
absorptive,SG_tau,L2.Pi,-0.10888787402458472
absorptive,CER,const,-0.9216913416332795
absorptive,CER,L1.Stress,1.297426803331685
absorptive,CER,L1.SG_tau,-4.053637528325712
absorptive,CER,L1.CER,-0.02976404432304834
absorptive,CER,L1.Pi,6.111619530731908
absorptive,CER,L2.Stress,0.5681971495661433
absorptive,CER,L2.SG_tau,-4.082971235400216
absorptive,CER,L2.CER,-0.01710681009769016
absorptive,CER,L2.Pi,3.9421479699846738
absorptive,Pi,const,0.012754772894077638
absorptive,Pi,L1.Stress,0.15696221511126024
absorptive,Pi,L1.SG_tau,0.049168403208482946
absorptive,Pi,L1.CER,0.000627078248887495
absorptive,Pi,L1.Pi,-0.1022945692133973
absorptive,Pi,L2.Stress,0.031299479112194994
absorptive,Pi,L2.SG_tau,-0.027351512087755377
absorptive,Pi,L2.CER,0.00445688498221261
absorptive,Pi,L2.Pi,0.06298149225346478
binding,Stress,const,0.2183433074544106
binding,Stress,L1.Stress,0.5225651236762303
binding,Stress,L1.SG_tau,1.1996835751855428
binding,Stress,L1.CER,0.053946577761833356
binding,Stress,L1.Pi,-1.388227943951088
binding,Stress,L2.Stress,0.5955920220945434
binding,Stress,L2.SG_tau,-1.760598240230629
binding,Stress,L2.CER,-0.05428642262982005
binding,Stress,L2.Pi,1.8456037279883883
binding,SG_tau,const,-0.035014491146396834
binding,SG_tau,L1.Stress,-0.14638654981608212
binding,SG_tau,L1.SG_tau,1.32441157574685
binding,SG_tau,L1.CER,-0.03307631944286649
binding,SG_tau,L1.Pi,-1.2274145898427127
binding,SG_tau,L2.Stress,0.8453640945590127
binding,SG_tau,L2.SG_tau,-1.8806956500474046
binding,SG_tau,L2.CER,-0.019780701188357768
binding,SG_tau,L2.Pi,1.8549873533699917
binding,CER,const,0.4129460568528214
binding,CER,L1.Stress,0.7767199106605507
binding,CER,L1.SG_tau,-5.778971318311342
binding,CER,L1.CER,-0.15588212371553267
binding,CER,L1.Pi,6.1665143169598275
binding,CER,L2.Stress,-0.7971026995205217
binding,CER,L2.SG_tau,3.415233947166836
binding,CER,L2.CER,-0.15995178235512092
binding,CER,L2.Pi,-3.4077008472413435
binding,Pi,const,-0.07859555192804094
binding,Pi,L1.Stress,-0.16508211162454542
binding,Pi,L1.SG_tau,0.2288449685005138
binding,Pi,L1.CER,-0.03634650025829147
binding,Pi,L1.Pi,-0.15046277439545733
binding,Pi,L2.Stress,0.6970730145606338
binding,Pi,L2.SG_tau,-1.2697188534983577
binding,Pi,L2.CER,-0.04335345532728169
binding,Pi,L2.Pi,1.2306001349857616
